product_id,product_title,category_id,category_name,price,list_price,rating,review_count,has_rating,weighted_score,units_sold_last_month,is_best_seller,has_title,image_url,product_url,price_segment,popularity_tier,units_norm,wscore_norm,strategic_score,category_rank,is_top_10_category
B073VYJTD5,"WELLA Color Charm Creme Hair Developer 20 Volume, 32 oz",47,Hair Care Products,9.02,0.0,4.6,0,True,0.0,6000,True,True,https://m.media-amazon.com/images/I/51GvuI-bxXS._AC_UL320_.jpg,https://www.amazon.com/dp/B073VYJTD5,budget,high,0.3,0.0,0.17,48,False
B00006IL3C,PlayStation Vita Carrying Case,251,"PlayStation Vita Games, Consoles & Accessories",21.88,0.0,4.3,635,True,27.757355,0,False,True,https://m.media-amazon.com/images/I/91Gly0QcgCL._AC_UY218_.jpg,https://www.amazon.com/dp/B00006IL3C,premium,low,0.0,0.6068652,0.33377588,55,False
B079TXF3MP,Glow King Black Light Reactive Neon Balloons | Glow In The Dark Latex Balloons in Multiple Colors | Fun UV Fluorescent Party Supplies for Events | Luminous Ballons for Birthday Decoration – 25 Pack,216,Kids' Party Supplies,14.99,0.0,4.6,1884,True,34.691742,50,False,True,https://m.media-amazon.com/images/I/61uTKltbK1L._AC_UL320_.jpg,https://www.amazon.com/dp/B079TXF3MP,mid,medium,0.05,0.8158891,0.468739,31,False
B0BMZZVMBD,Animal Necklace Pet Pendant Memorial Personalized Charm Unique Gift Lover Jewelry…,88,Boys' Jewelry,12.99,0.0,4.6,77,True,20.040861,0,False,True,https://m.media-amazon.com/images/I/51BDFtmHA4L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BMZZVMBD,mid,low,0.0,0.67146146,0.3693038,12,False
B01MPW66ZR,Aligle Weather Shield Double Popular for Swivel Wheel Stroller Universal Size Baby Rain Cover/Wind Shield Deal (Black),44,Baby Strollers & Accessories,12.99,0.0,4.4,0,True,0.0,600,False,True,https://m.media-amazon.com/images/I/7122BwyRsXL._AC_UL320_.jpg,https://www.amazon.com/dp/B01MPW66ZR,mid,high,0.06,0.0,0.024,77,False
B00827ILWM,"Wahl Clipper USA Deluxe Corded Chrome Pro, Complete Hair and Trimming Kit, Includes Corded Clipper, Cordless Battery Trimmer, and Styling Shears, for a Cut Every Time - Model 79524-5201M",53,Shaving & Hair Removal Products,49.99,0.0,4.4,14670,True,42.211964,4000,False,True,https://m.media-amazon.com/images/I/81cEVj77gLL._AC_UL320_.jpg,https://www.amazon.com/dp/B00827ILWM,luxury,high,0.13333334,0.75706273,0.46971783,88,False
B0BW3N71LT,GE Bathroom Scale Body Weight: Digital Body Weight Scale 500lbs Capacity Smart BMI Weight Scales for People Accurate Bluetooth Weighing Scale Electronic Weigh Scales with Bright LED Display Black,163,Bath Products,38.99,41.99,4.8,0,True,0.0,4000,False,True,https://m.media-amazon.com/images/I/51PHqdrfkAL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BW3N71LT,luxury,high,0.4,0.0,0.16,34,False
B0BFH5S83R,"Kids Watch, Waterproof Analog Watch for Boys Girls Learning Time Easy to Read Soft Band (Blue)",96,Girls' Watches,8.99,9.95,4.0,0,True,0.0,0,False,True,https://m.media-amazon.com/images/I/61unt+DrHHL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BFH5S83R,budget,low,0.0,0.0,0.0,73,False
B072KC4JF5,"MulWark 26ft Measuring Tape Measure by Imperial Inch Metric Scale with Both-Side Metal Blade,Magnetic Tip Hook and Shock Absorbent Case-for Construction,Contractor,Carpenter,Architect,Woodworking",150,Lab & Scientific Products,15.99,0.0,4.5,0,True,0.0,900,False,True,https://m.media-amazon.com/images/I/61JWkci8bkL._AC_UL320_.jpg,https://www.amazon.com/dp/B072KC4JF5,mid,high,0.3,0.0,0.120000005,84,False
B07S268R4F,"Puppy Dog Pals AWESOME Care Bus, Officially Licensed Kids Toys for Ages 3 Up by Just Play",238,Kids' Play Buses,18.18,37.99,4.6,0,True,0.0,200,False,True,https://m.media-amazon.com/images/I/81LQQSyqBSL._AC_UL320_.jpg,https://www.amazon.com/dp/B07S268R4F,mid,high,0.06666667,0.0,0.026666667,9,True
